q,i,alpha_bar_frozen_i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-5,-2.92,-0.03579117078227154,-1.5521967688742202,-1.4800672414469607,2.605738359929517,2.548408043383742
-5,-2.9,-0.035782674024621,-1.5397363743840267,-1.4671153692895487,2.5930900761204634,2.5353653506552436
-5,-2.88,-0.035773832643492286,-1.5272114549153457,-1.4541149831097393,2.5803753873563884,2.522268822234993
-5,-2.86,-0.035764632751562025,-1.514623162234808,-1.4410677713149869,2.5675954458087404,2.5091200355778005
-5,-2.84,-0.035755059909389965,-1.5019726850160635,-1.4279754502723427,2.5547514413344428,2.4959205989533584
-5,-2.82,-0.035745099104091856,-1.4892612485840642,-1.414839762808977,2.5418446012497316,2.4826721502458127
-5,-2.8,-0.03573473472724061,-1.476490114593678,-1.401662476620428,2.528876190038487,2.469376355666485
-5,-2.78,-0.03572395055197219,-1.4636605806397114,-1.3884453825862235,2.5158475089920818,2.4560349083787276
-5,-2.76,-0.03571272970927243,-1.4507739797954384,-1.3751902929927733,2.5027598957777917,2.4426495270340967
-5,-2.7399999999999998,-0.03570105466342076,-1.4378316800767288,-1.361899039663657,2.489614723932796,2.429221954219177
-5,-2.7199999999999998,-0.035688907186566345,-1.4248350838288535,-1.3485734719976588,2.4764134022807918,2.415753954812585
-5,-2.6999999999999997,-0.03567626833241224,-1.4117856270330957,-1.3352154549151651,2.463157374268268,2.4022473142518774
-5,-2.6799999999999997,-0.03566311840898275,-1.3986847785302796,-1.32182686671378,2.449848117217499,2.3887038367102695
-5,-2.66,-0.03564943695044938,-1.385534039158407,-1.3084095968342817,2.436487141493349,2.3751253431832926
-5,-2.64,-0.03563520268799043,-1.372334940801577,-1.2949655435382765,2.4230759895810046,2.3615136694857
-5,-2.62,-0.0356203935196597,-1.359089045347485,-1.2814966114992061,2.4096162350718315,2.347870664159185
-5,-2.6,-0.03560498647923958,-1.3457979435507972,-1.2680047093085842,2.3961094815545723,2.3341981862916312
-5,-2.58,-0.035588957704054326,-1.33246325379981,-1.2544917468996222,2.3825573614091997,2.32049810324889
-5,-2.56,-0.0355722824017195,-1.3190866207838818,-1.2409596328906494,2.3689615345008184,2.3067722883202606
-5,-2.54,-0.035554934815804004,-1.3056697140592086,-1.227410271850985,2.3553236867710843,2.2930226182790654
-5,-2.52,-0.035536888190381866,-1.292214226510633,-1.2138455614921502,2.3416455287247415,2.2792509708599535
-5,-2.5,-0.0355181147334515,-1.2787218727073038,-1.2002673897875693,2.3279287938089697,2.2654592221547483
-5,-2.48,-0.03549858557920113,-1.265194387150123,-1.1866776320241041,2.3141752366833885,2.2516492439288807
-5,-2.46,-0.03547827074910014,-1.251633522409066,-1.1730781477889884,2.300386631378689,2.237822900860638
-5,-2.44,-0.03545713911179712,-1.2380410471486247,-1.1594707778959317,2.2865647693420277,2.2239820477056695
-5,-2.42,-0.035435158341807195,-1.2244187440397887,-1.1458573412543325,2.272711457367497,2.210128526389353
-5,-2.4,-0.03541229487697249,-1.2107684075571739,-1.132239631685721,2.258828515410153,2.196264163029839
-5,-2.38,-0.03538851387468161,-1.1970918416600822,-1.118619414691669,2.244917774282288,2.182390764894718
-5,-2.36,-0.03536377916683625,-1.1833908573565188,-1.1049984241775679,2.2309810732308533,2.1685101172944337
-5,-2.34,-0.035338053213555265,-1.1696672701493864,-1.0913783591367459,2.217020257395139,2.154623980415718
-5,-2.32,-0.035311297055609404,-1.1559228973643398,-1.0777608802994978,2.2030371751440985,2.1407340860984294
-5,-2.3,-0.03528347026558289,-1.1421595553590125,-1.0641476067516569,2.1890336752929076,2.126842134559313
-5,-2.28,-0.0352545308977614,-1.1283790566136103,-1.050540112527368,2.1750116041986707,2.1129497910662987
-5,-2.26,-0.03522443543674981,-1.1145832067031312,-1.0369399231807406,2.1609728027354156,2.099058682567046
-5,-2.2399999999999998,-0.03519313874482732,-1.1007738011517731,-1.0233485123410508,2.1469191031488704,2.085170394275517
-5,-2.2199999999999998,-0.03516059400805202,-1.086952622170387,-1.0097672982561183,2.132852325791775,2.0712864662204202
-5,-2.1999999999999997,-0.03512675268113226,-1.0731214352781673,-0.996197640328449,2.118774275740859,2.0574083897594306
-5,-2.1799999999999997,-0.035091564431087616,-1.0592819858100802,-0.9826408356486266,2.104686739296909,2.043537604063097
-5,-2.16,-0.03505497707972861,-1.045435995311915,-0.9690981155303853,2.0905914803697527,2.0296754925724234
-5,-2.14,-0.03501693654499074,-1.0315851578251662,-0.9555706420516354,2.0764902367503226,2.0158233794340683
-5,-2.12,-0.03497738678116624,-1.0177311360643662,-0.9420595046056343,2.06238471627238,2.0019825259171715
-5,-2.1,-0.03493626971808435,-1.0038755574898532,-0.9285657164663176,2.0482765928668547,1.9881541268157712
-5,-2.08,-0.03489352519930016,-0.9900200102793889,-0.9150902113716909,2.03416750251221,1.9743393068408084
-5,-2.06,-0.03484909091936142,-0.9761660392024482,-0.9016338401290148,2.0200590390846522,1.9605391170057052
-5,-2.04,-0.03480290236023253,-0.9623151414014502,-0.8881973672453702,2.0059527501124617,1.9467545310094838
-5,-2.02,-0.034754892726966816,-0.9484687620846571,-0.87478146758705,1.9918501324392173,1.9329864416214373
-5,-2.0,-0.034704992882729414,-0.9346282901359415,-0.8613867230710875,1.977752627801144,1.9192356570713538
-5,-1.9799999999999995,-0.03465313128328647,-0.9207950536471089,-0.848013619392106,1.963661618324338,1.9055028974493318
-5,-1.96,-0.034599233911090106,-0.9069703153789895,-0.8346625427875861,1.9495784219481556,1.8917887911192877
-5,-1.9399999999999995,-0.034543224209103454,-0.8931552681580215,-0.8213337768445655,1.9355042877815771,1.8780938711503083
-5,-1.92,-0.034485023014526286,-0.8793510302156298,-0.8080274993507659,1.921440391399959,1.8644185717701323
-5,-1.9000000000000004,-0.034424548492598614,-0.8655586404782462,-0.7947437791931251,1.9073878300901324,1.8507632248451469
-5,-1.88,-0.03436171607067812,-0.8517790538164421,-0.7814825733067853,1.8933476180524593,1.83712805639149
-5,-1.8600000000000003,-0.0342964383728068,-0.8380131362622518,-0.768243723677692,1.8793206815690708,1.8235131831220621
-5,-1.8399999999999999,-0.034228625155002766,-0.8242616602043992,-0.755026954402116,1.8653078541481538,1.8099186090345032
