q,i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
15,1.5,0.43403496844802947,0.4226691378112444,0.5914581166347737,0.6033824146906688
15,1.5200000000000005,0.43677688335560283,0.42554964754675384,0.5887412653429096,0.6005152989163991
15,1.54,0.4394973481810643,0.428409280528935,0.5860442577737651,0.5976674899180006
15,1.5600000000000005,0.44219679544213564,0.4312484000951986,0.5833666448507472,0.594838614410567
15,1.58,0.44487563991612367,0.4340673516034066,0.5807079980326537,0.5920283198115995
15,1.6000000000000005,0.4475342786224206,0.43686646254867967,0.5780679092990012,0.5892362740787555
15,1.62,0.4501730908407373,0.43964604271371277,0.5754459910948153,0.5864621655096949
15,1.6400000000000006,0.4527924381646439,0.4424063843518075,0.5728418762354174,0.5837057025049661
15,1.6600000000000001,0.4553926645898806,0.44514776240172255,0.5702552177718669,0.5809666132949862
15,1.6799999999999997,0.4579740966368025,0.4478704347333754,0.5676856888178351,0.5782446456322532
15,1.7000000000000002,0.4605370435062153,0.45057464242333223,0.565132982338806,0.5755395664500387
15,1.7199999999999998,0.4630817972677552,0.45326061005895,0.56259681090462,0.57285116148889
15,1.7400000000000002,0.4656086330798743,0.4559285460699586,0.5600769064064801,0.5701792348923628
15,1.7599999999999998,0.46811780944038706,0.4585786430861877,0.5575730197396588,0.5675236087734907
15,1.7800000000000002,0.47060956846645113,0.4612110783200925,0.5550849204532392,0.5648841227535681
15,1.7999999999999998,0.4730841362027611,0.4638260139726484,0.5526123963683309,0.5622606334749048
15,1.8200000000000003,0.47554172295665736,0.4664235976611465,0.5501552531662821,0.5596530140892627
15,1.8399999999999999,0.4779825236587742,0.46900396286735596,0.5477133139485055,0.5570611537237539
15,1.8600000000000003,0.4804067182477788,0.47156722940447954,0.5452864187696048,0.5544849569260251
15,1.88,0.482814472077697,0.47411350390129275,0.5428744241455653,0.5519243430905928
15,1.9000000000000004,0.4852059363462552,0.47664288030181684,0.5404772025388277,0.5493792458682378
15,1.92,0.4875812485426295,0.47915544037885827,0.5380946418221226,0.5468496125603813
15,1.9400000000000004,0.4899405329129463,0.4816512542597257,0.5357266447229808,0.5443354035003988
15,1.96,0.4922839009418436,0.48413038096242633,0.53337312825088,0.5418365914238181
15,1.9800000000000004,0.4946114518483867,0.48659286894063947,0.531034023109001,0.5393531608293735
15,2.0,0.4969232730946006,0.4890387566357687,0.5287092730925962,0.5368851073328561
15,2.0199999999999996,0.49921944090488674,0.4914680730343872,0.5263988344759691,0.5344324370157056
15,2.040000000000001,0.5015000207945779,0.493880838229405,0.524102675390075,0.5319951657702545
15,2.0600000000000005,0.5037650681059014,0.49627706398331395,0.5218207751927253,0.5295733186435069
15,2.08,0.5060146285496299,0.4986567542919031,0.5195531238333766,0.5271669291813003
15,2.0999999999999996,0.5082487387507209,0.5010199059468597,0.5172997212144438,0.5247760387746443
15,2.120000000000001,0.5104674267962768,0.5033665090957327,0.5150605765510505,0.5224006960099901
15,2.1400000000000006,0.5126707127841916,0.5056965477977716,0.5128357077310766,0.5200409560251129
15,2.16,0.5148586093708964,0.5080100005742174,0.5106251406773193,0.5176968798722337
