k,q,bid_depth
0.9516666667,22,1.881088718
0.9516666667,23,1.916251058
0.9516666667,24,1.951181035
0.9516666667,25,1.985873642
0.9516666667,26,2.020324304
0.9516666667,27,2.054528866
0.9516666667,28,2.088483584
0.9516666667,29,2.122185113
0.9516666667,30,2.15563049
1.013333333,-30,-0.0589316272
1.013333333,-29,-0.02650147092
1.013333333,-28,0.006184682809
1.013333333,-27,0.03912374012
1.013333333,-26,0.07231219439
1.013333333,-25,0.1057461125
1.013333333,-24,0.1394211221
1.013333333,-23,0.1733324001
1.013333333,-22,0.2074746627
1.013333333,-21,0.2418421569
1.013333333,-20,0.2764286536
1.013333333,-19,0.3112274436
1.013333333,-18,0.3462313346
1.013333333,-17,0.3814326513
1.013333333,-16,0.4168232383
1.013333333,-15,0.4523944648
1.013333333,-14,0.4881372328
1.013333333,-13,0.5240419883
1.013333333,-12,0.560098735
1.013333333,-11,0.5962970513
1.013333333,-10,0.6326261107
1.013333333,-9,0.6690747045
1.013333333,-8,0.705631268
1.013333333,-7,0.7422839094
1.013333333,-6,0.7790204411
1.013333333,-5,0.815828414
1.013333333,-4,0.8526951535
1.013333333,-3,0.8896077979
1.013333333,-2,0.9265533378
1.013333333,-1,0.9635186578
1.013333333,0,1.000490578
1.013333333,1,1.037455898
1.013333333,2,1.074401438
1.013333333,3,1.111314083
1.013333333,4,1.148180822
1.013333333,5,1.184988795
1.013333333,6,1.221725327
1.013333333,7,1.258377968
1.013333333,8,1.294934532
1.013333333,9,1.331383125
1.013333333,10,1.367712185
1.013333333,11,1.403910501
1.013333333,12,1.439967248
1.013333333,13,1.475872003
1.013333333,14,1.511614771
1.013333333,15,1.547185998
1.013333333,16,1.582576585
1.013333333,17,1.617777902
1.013333333,18,1.652781793
1.013333333,19,1.687580583
1.013333333,20,1.722167079
1.013333333,21,1.756534573
1.013333333,22,1.790676836
1.013333333,23,1.824588114
1.013333333,24,1.858263124
1.013333333,25,1.891697042
1.013333333,26,1.924885496
1.013333333,27,1.957824553
1.013333333,28,1.990510707
1.013333333,29,2.022940863
1.013333333,30,2.055112326
1.075,-30,-0.08216578656
1.075,-29,-0.05089783235
1.075,-28,-0.01937144964
1.075,-27,0.01241052318
1.075,-26,0.04444482233
1.075,-25,0.07672774282
1.075,-24,0.1092551236
1.075,-23,0.1420223339
1.075,-22,0.1750242611
1.075,-21,0.2082553003
1.075,-20,0.2417093456
1.075,-19,0.2753797834
1.075,-18,0.3092594888
1.075,-17,0.3433408235
1.075,-16,0.3776156374
1.075,-15,0.4120752724
1.075,-14,0.44671057
1.075,-13,0.4815118815
1.075,-12,0.5164690823
1.075,-11,0.5515715885
1.075,-10,0.5868083785
1.075,-9,0.6221680166
1.075,-8,0.6576386805
1.075,-7,0.6932081924
1.075,-6,0.7288640524
1.075,-5,0.7645934756
1.075,-4,0.8003834307
1.075,-3,0.8362206822
