k,q,bid_depth
0.8283333333,26,2.428274255
0.8283333333,27,2.470864375
0.8283333333,28,2.513089399
0.8283333333,29,2.554944364
0.8283333333,30,2.596424921
0.89,-30,-0.1850157079
0.89,-29,-0.145058782
0.89,-28,-0.1047253676
0.89,-27,-0.06401988661
0.89,-26,-0.02294742802
0.89,-25,0.01848623549
0.89,-24,0.06027463308
0.89,-23,0.1024105841
0.89,-22,0.1448861892
0.89,-21,0.1876928249
0.89,-20,0.2308211408
0.89,-19,0.2742610613
0.89,-18,0.3180017893
0.89,-17,0.3620318152
0.89,-16,0.4063389284
0.89,-15,0.450910233
0.89,-14,0.4957321672
0.89,-13,0.540790526
0.89,-12,0.5860704883
0.89,-11,0.6315566462
0.89,-10,0.677233039
0.89,-9,0.7230831895
0.89,-8,0.7690901433
0.89,-7,0.8152365118
0.89,-6,0.8615045163
0.89,-5,0.9078760358
0.89,-4,0.9543326556
0.89,-3,1.000855719
0.89,-2,1.047426378
0.89,-1,1.09402565
0.89,0,1.140634469
0.89,1,1.187233741
0.89,2,1.233804401
0.89,3,1.280327464
0.89,4,1.326784084
0.89,5,1.373155603
0.89,6,1.419423608
0.89,7,1.465569976
0.89,8,1.51157693
0.89,9,1.557427081
0.89,10,1.603103473
0.89,11,1.648589631
0.89,12,1.693869594
0.89,13,1.738927952
0.89,14,1.783749887
0.89,15,1.828321191
0.89,16,1.872628304
0.89,17,1.91665833
0.89,18,1.960399058
0.89,19,2.003838979
0.89,20,2.046967295
0.89,21,2.08977393
0.89,22,2.132249536
0.89,23,2.174385487
0.89,24,2.216173884
0.89,25,2.257607548
0.89,26,2.298680006
0.89,27,2.339385487
0.89,28,2.379718902
0.89,29,2.419675828
0.89,30,2.459252491
0.9516666667,-30,-0.2094500903
0.9516666667,-29,-0.1712113742
0.9516666667,-28,-0.1325908599
0.9516666667,-27,-0.0935924043
0.9516666667,-26,-0.05422056453
0.9516666667,-25,-0.01448061943
0.9516666667,-24,0.02562141118
0.9516666667,-23,0.0660787502
0.9516666667,-22,0.1068838502
0.9516666667,-21,0.1480283837
0.9516666667,-20,0.1895032372
0.9516666667,-19,0.2312985089
0.9516666667,-18,0.2734035109
0.9516666667,-17,0.3158067752
0.9516666667,-16,0.3584960639
0.9516666667,-15,0.4014583841
0.9516666667,-14,0.4446800073
0.9516666667,-13,0.4881464922
0.9516666667,-12,0.5318427128
0.9516666667,-11,0.5757528902
0.9516666667,-10,0.6198606285
0.9516666667,-9,0.6641489542
0.9516666667,-8,0.7086003597
0.9516666667,-7,0.75319685
0.9516666667,-6,0.7979199925
0.9516666667,-5,0.842750969
0.9516666667,-4,0.8876706314
0.9516666667,-3,0.9326595583
0.9516666667,-2,0.9776981142
0.9516666667,-1,1.022766509
0.9516666667,0,1.067844861
0.9516666667,1,1.112913256
0.9516666667,2,1.157951812
0.9516666667,3,1.202940739
0.9516666667,4,1.247860401
0.9516666667,5,1.292691378
0.9516666667,6,1.33741452
0.9516666667,7,1.382011011
