gamma,q,spread
0.2006,20,0.9985459728
0.2006,21,0.9966784258
0.2006,22,0.9949489933
0.2006,23,0.9933439045
0.2006,24,0.9918510083
0.2006,25,0.9904595713
0.2006,26,0.9891600982
0.2006,27,0.987944174
0.2006,28,0.9868043266
0.2006,29,0.9857339066
0.2006,30,0.9847269841
0.2172333333,-30,0.9811708115
0.2172333333,-29,0.9821860125
0.2172333333,-28,0.9832658111
0.2172333333,-27,0.9844163221
0.2172333333,-26,0.9856444175
0.2172333333,-25,0.9869578388
0.2172333333,-24,0.9883653286
0.2172333333,-23,0.9898767826
0.2172333333,-22,0.9915034263
0.2172333333,-21,0.9932580191
0.2172333333,-20,0.9951550877
0.2172333333,-19,0.9972111901
0.2172333333,-18,0.9994452084
0.2172333333,-17,1.001878662
0.2172333333,-16,1.004536025
0.2172333333,-15,1.00744501
0.2172333333,-14,1.010636757
0.2172333333,-13,1.014145795
0.2172333333,-12,1.018009595
0.2172333333,-11,1.022267323
0.2172333333,-10,1.026957242
0.2172333333,-9,1.032111793
0.2172333333,-8,1.037748893
0.2172333333,-7,1.043857394
0.2172333333,-6,1.0503742
0.2172333333,-5,1.057151296
0.2172333333,-4,1.063914837
0.2172333333,-3,1.070229022
0.2172333333,-2,1.075496139
0.2172333333,-1,1.079039852
0.2172333333,0,1.080295712
0.2172333333,1,1.079039852
0.2172333333,2,1.075496139
0.2172333333,3,1.070229022
0.2172333333,4,1.063914837
0.2172333333,5,1.057151296
0.2172333333,6,1.0503742
0.2172333333,7,1.043857394
0.2172333333,8,1.037748893
0.2172333333,9,1.032111793
0.2172333333,10,1.026957242
0.2172333333,11,1.022267323
0.2172333333,12,1.018009595
0.2172333333,13,1.014145795
0.2172333333,14,1.010636757
0.2172333333,15,1.00744501
0.2172333333,16,1.004536025
0.2172333333,17,1.001878662
0.2172333333,18,0.9994452084
0.2172333333,19,0.9972111901
0.2172333333,20,0.9951550877
0.2172333333,21,0.9932580191
0.2172333333,22,0.9915034263
0.2172333333,23,0.9898767826
0.2172333333,24,0.9883653286
0.2172333333,25,0.9869578388
0.2172333333,26,0.9856444175
0.2172333333,27,0.9844163221
0.2172333333,28,0.9832658111
0.2172333333,29,0.9821860125
0.2172333333,30,0.9811708115
0.2338666667,-30,0.9776395122
0.2338666667,-29,0.978661883
0.2338666667,-28,0.9797498108
0.2338666667,-27,0.9809095733
0.2338666667,-26,0.9821482386
0.2338666667,-25,0.9834737866
0.2338666667,-24,0.9848952499
0.2338666667,-23,0.9864228799
0.2338666667,-22,0.9880683406
0.2338666667,-21,0.9898449351
0.2338666667,-20,0.9917678687
0.2338666667,-19,0.9938545512
0.2338666667,-18,0.9961249404
0.2338666667,-17,0.9986019232
0.2338666667,-16,1.001311721
0.2338666667,-15,1.004284294
0.2338666667,-14,1.007553678
0.2338666667,-13,1.011158156
0.2338666667,-12,1.015140053
0.2338666667,-11,1.019544801
0.2338666667,-10,1.024418663
0.2338666667,-9,1.029804083
0.2338666667,-8,1.035731001
0.2338666667,-7,1.042201616
0.2338666667,-6,1.049165279
0.2338666667,-5,1.056480357
0.2338666667,-4,1.063863599
0.2338666667,-3,1.070839537
0.2338666667,-2,1.076727032
0.2338666667,-1,1.08072656
0.2338666667,0,1.082151886
0.2338666667,1,1.08072656
0.2338666667,2,1.076727032
0.2338666667,3,1.070839537
0.2338666667,4,1.063863599
0.2338666667,5,1.056480357
0.2338666667,6,1.049165279
0.2338666667,7,1.042201616
0.2338666667,8,1.035731001
0.2338666667,9,1.029804083
0.2338666667,10,1.024418663
0.2338666667,11,1.019544801
0.2338666667,12,1.015140053
0.2338666667,13,1.011158156
0.2338666667,14,1.007553678
0.2338666667,15,1.004284294
0.2338666667,16,1.001311721
0.2338666667,17,0.9986019232
0.2338666667,18,0.9961249404
0.2338666667,19,0.9938545512
0.2338666667,20,0.9917678687
0.2338666667,21,0.9898449351
0.2338666667,22,0.9880683406
0.2338666667,23,0.9864228799
0.2338666667,24,0.9848952499
0.2338666667,25,0.9834737866
0.2338666667,26,0.9821482386
0.2338666667,27,0.9809095733
0.2338666667,28,0.9797498108
0.2338666667,29,0.978661883
0.2338666667,30,0.9776395122
0.2505,-30,0.9741347179
0.2505,-29,0.9751633561
0.2505,-28,0.976258395
0.2505,-27,0.9774262567
0.2505,-26,0.9786741836
0.2505,-25,0.9800103675
0.2505,-24,0.9814440995
0.2505,-23,0.9829859489
0.2505,-22,0.9846479725
0.2505,-21,0.986443962
0.2505,-20,0.9883897343
0.2505,-19,0.9905034697
0.2505,-18,0.9928061039
0.2505,-17,0.9953217723
0.2505,-16,0.9980783017
0.2505,-15,1.001107727
0.2505,-14,1.004446786
0.2505,-13,1.008137286
0.2505,-12,1.012226169
0.2505,-11,1.016764897
0.2505,-10,1.021807569
0.2505,-9,1.027406638
