tau,q,bid_depth
30,24,0.9932173152
30,25,1.012570894
30,26,1.031830229
30,27,1.050992595
30,28,1.070055365
30,29,1.089016012
30,30,1.107872112
40,-30,-0.1705955726
40,-29,-0.1498428297
40,-28,-0.1289120492
40,-27,-0.1078059895
40,-26,-0.08652768586
40,-25,-0.0650804547
40,-24,-0.04346789688
40,-23,-0.02169390019
40,-22,0.0002373592052
40,-21,0.02232141639
40,-20,0.04455351834
40,-19,0.06692862582
40,-18,0.08944141637
40,-17,0.1120862886
40,-16,0.1348573677
40,-15,0.1577485124
40,-14,0.1807533225
40,-13,0.203865149
40,-12,0.2270771042
40,-11,0.2503820735
40,-10,0.273772729
40,-9,0.297241543
40,-8,0.320780804
40,-7,0.3443826327
40,-6,0.3680389992
40,-5,0.3917417417
40,-4,0.415482585
40,-3,0.4392531604
40,-2,0.4630450259
40,-1,0.4868496865
40,0,0.5106586157
40,1,0.5344632763
40,2,0.5582551418
40,3,0.5820257172
40,4,0.6057665605
40,5,0.629469303
40,6,0.6531256695
40,7,0.6767274982
40,8,0.7002667592
40,9,0.7237355732
40,10,0.7471262287
40,11,0.770431198
40,12,0.7936431532
40,13,0.8167549797
40,14,0.8397597898
40,15,0.8626509345
40,16,0.8854220136
40,17,0.9080668858
40,18,0.9305796764
40,19,0.9529547839
40,20,0.9751868858
40,21,0.997270943
40,22,1.019202202
40,23,1.040976199
40,24,1.062588757
40,25,1.084035988
40,26,1.105314292
40,27,1.126420351
40,28,1.147351132
40,29,1.168103875
40,30,1.188676094
50,-30,-0.2176776128
50,-29,-0.1960841949
50,-28,-0.174254841
50,-27,-0.152191528
50,-26,-0.1298966602
50,-25,-0.1073730858
50,-24,-0.0846241134
50,-23,-0.06165352637
50,-22,-0.03846559581
50,-21,-0.01506509187
50,-20,0.008542707233
50,-19,0.03235200829
50,-18,0.05635649885
50,-17,0.08054934556
50,-16,0.1049231955
50,-15,0.1294701807
50,-14,0.1541819255
50,-13,0.1790495578
50,-12,0.2040637233
50,-11,0.2292146035
50,-10,0.2544919369
50,-9,0.279885044
50,-8,0.3053828551
50,-7,0.3309739419
50,-6,0.3566465518
50,-5,0.3823886448
50,-4,0.4081879335
50,-3,0.4340319248
50,-2,0.4599079634
50,-1,0.4858032775
50,0,0.5117050247
50,1,0.5376003388
50,2,0.5634763774
50,3,0.5893203687
50,4,0.6151196574
50,5,0.6408617505
50,6,0.6665343603
50,7,0.6921254471
50,8,0.7176232582
50,9,0.7430163653
50,10,0.7682936987
50,11,0.7934445789
50,12,0.8184587444
50,13,0.8433263767
50,14,0.8680381215
50,15,0.8925851067
50,16,0.9169589566
50,17,0.9411518034
50,18,0.9651562939
50,19,0.988965595
50,20,1.012573394
50,21,1.035973898
50,22,1.059161829
50,23,1.082132416
50,24,1.104881388
50,25,1.127404962
50,26,1.14969983
50,27,1.171763143
50,28,1.193592497
50,29,1.215185915
50,30,1.236541829
