tau,q,spread
190,29,1.018374075
190,30,1.018107031
200,-30,1.018107037
200,-29,1.018374082
200,-28,1.018642292
200,-27,1.018911248
200,-26,1.019180488
200,-25,1.019449505
200,-24,1.019717747
200,-23,1.019984615
200,-22,1.020249463
200,-21,1.020511599
200,-20,1.020770281
200,-19,1.021024727
200,-18,1.021274111
200,-17,1.021517567
200,-16,1.021754196
200,-15,1.021983069
200,-14,1.022203236
200,-13,1.022413733
200,-12,1.022613587
200,-11,1.022801833
200,-10,1.022977518
200,-9,1.023139717
200,-8,1.023287542
200,-7,1.023420157
200,-6,1.023536789
200,-5,1.023636738
200,-4,1.02371939
200,-3,1.02378423
200,-2,1.023830845
200,-1,1.023858935
200,0,1.023868319
200,1,1.023858935
200,2,1.023830845
200,3,1.02378423
200,4,1.02371939
200,5,1.023636738
200,6,1.023536789
200,7,1.023420157
200,8,1.023287542
200,9,1.023139717
200,10,1.022977518
200,11,1.022801833
200,12,1.022613587
200,13,1.022413733
200,14,1.022203236
200,15,1.021983069
200,16,1.021754196
200,17,1.021517567
200,18,1.021274111
200,19,1.021024727
200,20,1.020770281
200,21,1.020511599
200,22,1.020249463
200,23,1.019984615
200,24,1.019717747
200,25,1.019449505
200,26,1.019180488
200,27,1.018911248
200,28,1.018642292
200,29,1.018374082
200,30,1.018107037
210,-30,1.01810704
210,-29,1.018374086
210,-28,1.018642297
210,-27,1.018911253
210,-26,1.019180494
210,-25,1.019449512
210,-24,1.019717755
210,-23,1.019984625
210,-22,1.020249474
210,-21,1.02051161
210,-20,1.020770294
210,-19,1.021024741
210,-18,1.021274126
210,-17,1.021517583
210,-16,1.021754213
210,-15,1.021983088
210,-14,1.022203257
210,-13,1.022413754
210,-12,1.02261361
210,-11,1.022801856
210,-10,1.022977543
210,-9,1.023139743
210,-8,1.023287569
210,-7,1.023420185
210,-6,1.023536818
210,-5,1.023636767
210,-4,1.02371942
210,-3,1.02378426
210,-2,1.023830875
210,-1,1.023858966
210,0,1.02386835
210,1,1.023858966
210,2,1.023830875
210,3,1.02378426
210,4,1.02371942
210,5,1.023636767
210,6,1.023536818
210,7,1.023420185
210,8,1.023287569
210,9,1.023139743
210,10,1.022977543
210,11,1.022801856
210,12,1.02261361
