gamma,q,spread
0.1507,-24,2.140764783
0.1507,-23,2.144159787
0.1507,-22,2.147825896
0.1507,-21,2.151795758
0.1507,-20,2.156107234
0.1507,-19,2.16080441
0.1507,-18,2.165938836
0.1507,-17,2.171571018
0.1507,-16,2.177772246
0.1507,-15,2.184626769
0.1507,-14,2.192234371
0.1507,-13,2.200713311
0.1507,-12,2.210203478
0.1507,-11,2.220869344
0.1507,-10,2.232901726
0.1507,-9,2.246516241
0.1507,-8,2.261944063
0.1507,-7,2.279406311
0.1507,-6,2.299055478
0.1507,-5,2.320854719
0.1507,-4,2.344351234
0.1507,-3,2.368305295
0.1507,-2,2.390236552
0.1507,-1,2.406285664
0.1507,0,2.412276663
0.1507,1,2.406285664
0.1507,2,2.390236552
0.1507,3,2.368305295
0.1507,4,2.344351234
0.1507,5,2.320854719
0.1507,6,2.299055478
0.1507,7,2.279406311
0.1507,8,2.261944063
0.1507,9,2.246516241
0.1507,10,2.232901726
0.1507,11,2.220869344
0.1507,12,2.210203478
0.1507,13,2.200713311
0.1507,14,2.192234371
0.1507,15,2.184626769
0.1507,16,2.177772246
0.1507,17,2.171571018
0.1507,18,2.165938836
0.1507,19,2.16080441
0.1507,20,2.156107234
0.1507,21,2.151795758
0.1507,22,2.147825896
0.1507,23,2.144159787
0.1507,24,2.140764783
0.1507,25,2.137612615
0.1507,26,2.134678706
0.1507,27,2.13194161
0.1507,28,2.129382538
0.1507,29,2.12698497
0.1507,30,2.124734331
0.1673333333,-30,2.108480625
0.1673333333,-29,2.110750505
0.1673333333,-28,2.1131696
0.1673333333,-27,2.115752855
0.1673333333,-26,2.118517235
0.1673333333,-25,2.121482067
0.1673333333,-24,2.124669457
0.1673333333,-23,2.128104788
0.1673333333,-22,2.131817328
0.1673333333,-21,2.135840974
0.1673333333,-20,2.140215153
0.1673333333,-19,2.144985939
0.1673333333,-18,2.150207421
0.1673333333,-17,2.155943394
0.1673333333,-16,2.162269431
0.1673333333,-15,2.169275434
0.1673333333,-14,2.177068721
0.1673333333,-13,2.185777702
0.1673333333,-12,2.19555609
0.1673333333,-11,2.206587372
0.1673333333,-10,2.219088726
0.1673333333,-9,2.233312487
0.1673333333,-8,2.249540877
0.1673333333,-7,2.26806495
0.1673333333,-6,2.289129288
0.1673333333,-5,2.312807089
0.1673333333,-4,2.338745791
0.1673333333,-3,2.365711188
0.1673333333,-2,2.390950543
0.1673333333,-1,2.409824193
0.1673333333,0,2.416973616
0.1673333333,1,2.409824193
0.1673333333,2,2.390950543
0.1673333333,3,2.365711188
0.1673333333,4,2.338745791
0.1673333333,5,2.312807089
0.1673333333,6,2.289129288
0.1673333333,7,2.26806495
0.1673333333,8,2.249540877
0.1673333333,9,2.233312487
0.1673333333,10,2.219088726
0.1673333333,11,2.206587372
0.1673333333,12,2.19555609
0.1673333333,13,2.185777702
0.1673333333,14,2.177068721
0.1673333333,15,2.169275434
0.1673333333,16,2.162269431
0.1673333333,17,2.155943394
0.1673333333,18,2.150207421
0.1673333333,19,2.144985939
0.1673333333,20,2.140215153
0.1673333333,21,2.135840974
0.1673333333,22,2.131817328
0.1673333333,23,2.128104788
0.1673333333,24,2.124669457
0.1673333333,25,2.121482067
0.1673333333,26,2.118517235
0.1673333333,27,2.115752855
0.1673333333,28,2.1131696
0.1673333333,29,2.110750505
0.1673333333,30,2.108480625
0.1839666667,-30,2.092531625
0.1839666667,-29,2.094817769
0.1839666667,-28,2.097255067
0.1839666667,-27,2.099858776
0.1839666667,-26,2.102646241
0.1839666667,-25,2.10563725
0.1839666667,-24,2.108854471
0.1839666667,-23,2.11232398
0.1839666667,-22,2.116075903
0.1839666667,-21,2.120145207
0.1839666667,-20,2.124572671
0.1839666667,-19,2.129406087
0.1839666667,-18,2.13470175
0.1839666667,-17,2.140526312
0.1839666667,-16,2.146959096
0.1839666667,-15,2.154094972
0.1839666667,-14,2.16204792
0.1839666667,-13,2.170955393
0.1839666667,-12,2.18098353
0.1839666667,-11,2.192333087
0.1839666667,-10,2.205245511
0.1839666667,-9,2.2200075
0.1839666667,-8,2.236950083
0.1839666667,-7,2.256433116
0.1839666667,-6,2.278795478
0.1839666667,-5,2.304230397
0.1839666667,-4,2.332510238
0.1839666667,-3,2.362450663
