time,glft_blind_mean_pnl,yaware_hjb_mean_pnl,glft_blind_mean_penalty,yaware_hjb_mean_penalty
4660.05,1125.220198,978.7607202,727.6312271,89.50747326
4661.05,1125.502558,978.9863638,727.7923112,89.52705567
4662.05,1125.781115,979.2128084,727.9532976,89.54664603
4663.05,1126.018791,979.4205937,728.1143536,89.56622287
4664.05,1126.350504,979.657959,728.2754605,89.58580714
4665.05,1126.59544,979.867449,728.4365583,89.60536477
4666.05,1126.893802,980.089917,728.5976084,89.62490844
4667.05,1127.086814,980.2759079,728.7585776,89.64446824
4668.05,1127.283085,980.4725133,728.919492,89.66402889
4669.05,1127.494,980.671946,729.0803275,89.683589
4670.05,1127.769795,980.9001651,729.2411151,89.70315655
4671.05,1128.045791,981.1291084,729.4018295,89.72273118
4672.05,1128.286732,981.339373,729.5625517,89.7423122
4673.05,1128.535874,981.5559546,729.7231831,89.76186528
4674.05,1128.79437,981.7644038,729.8837905,89.78140713
4675.05,1129.061935,981.9705733,730.0443997,89.80091505
4676.05,1129.307021,982.1859979,730.2048929,89.82042634
4677.05,1129.53718,982.3895085,730.3653364,89.8399329
4678.05,1129.781144,982.6090414,730.5258587,89.85944378
4679.05,1129.960484,982.8060607,730.6863176,89.87898239
4680.05,1130.204367,983.018802,730.8467863,89.89851675
4681.05,1130.387102,983.216538,731.007293,89.91805008
4682.05,1130.610471,983.4315218,731.1677647,89.93758187
4683.05,1130.825594,983.6304064,731.3282203,89.95710153
4684.05,1131.086685,983.844434,731.4886512,89.97661112
4685.05,1131.32215,984.0516169,731.6490675,89.99610874
4686.05,1131.532892,984.2623845,731.8095322,90.01560879
4687.05,1131.727608,984.4554666,731.9700221,90.03512495
4688.05,1131.977546,984.663278,732.1304639,90.05463009
4689.05,1132.315097,984.9124892,732.290905,90.07414568
4690.05,1132.604111,985.1374386,732.4512894,90.09365394
4691.05,1132.85555,985.3505151,732.6117118,90.11319912
4692.05,1133.028439,985.5292157,732.7720458,90.13273767
4693.05,1133.303568,985.7466683,732.932373,90.15228709
4694.05,1133.529423,985.9529651,733.0926429,90.17182435
4695.05,1133.80393,986.180823,733.2527291,90.19134039
4696.05,1134.070033,986.3942591,733.4127008,90.21083859
4697.05,1134.249186,986.5859034,733.5725147,90.230318
4698.05,1134.50338,986.7982631,733.732158,90.24978153
4699.05,1134.811745,987.0335558,733.8915973,90.26928444
4700.05,1135.01836,987.2390995,734.0509264,90.28878632
4701.05,1135.245736,987.4439429,734.2102169,90.30828823
4702.05,1135.440221,987.6350422,734.3694471,90.32780367
4703.05,1135.687535,987.8522488,734.5286537,90.34732053
4704.05,1135.956402,988.0648226,734.6877827,90.36680116
4705.05,1136.199684,988.2774902,734.8469624,90.38628364
4706.05,1136.47796,988.5164494,735.0061099,90.40578755
4707.05,1136.68824,988.7060107,735.1651625,90.42529246
4708.05,1136.935401,988.9098481,735.3240801,90.44479875
4709.05,1137.1197,989.0924799,735.4829923,90.46430132
4710.05,1137.283362,989.2891357,735.641769,90.48382428
4711.05,1137.561549,989.5109213,735.8005011,90.50335331
4712.05,1137.816938,989.7223633,735.9591563,90.52286487
4713.05,1138.095046,989.9412852,736.1176988,90.54238699
4714.05,1138.402818,990.1667449,736.2761251,90.56190834
4715.05,1138.635601,990.3767456,736.434422,90.58140721
4716.05,1138.868666,990.5860889,736.5926375,90.60090861
4717.05,1139.112691,990.8027603,736.7508668,90.62040846
4718.05,1139.352345,991.0228109,736.9090528,90.6399188
4719.05,1139.603833,991.2338128,737.0671344,90.65943402
4720.05,1139.805637,991.4297032,737.2251148,90.67894169
4721.05,1140.074643,991.641188,737.3829531,90.69846544
4722.05,1140.330614,991.8548812,737.5406733,90.71797578
4723.05,1140.587648,992.0590529,737.6983084,90.73748097
4724.05,1140.767438,992.2470972,737.855948,90.75699558
4725.05,1140.99503,992.4596771,738.0135834,90.7765041
4726.05,1141.254336,992.6796266,738.1712091,90.79599819
4727.05,1141.491471,992.8793356,738.32883,90.81550882
4728.05,1141.781595,993.1055524,738.4864471,90.83502937
4729.05,1142.020992,993.3188613,738.6440297,90.85456567
4730.05,1142.24024,993.5209139,738.8015165,90.87411103
4731.05,1142.479785,993.7351456,738.958994,90.89366861
4732.05,1142.771119,993.9616753,739.1164959,90.91321651
4733.05,1142.988557,994.1563408,739.273948,90.93271864
4734.05,1143.210948,994.3629919,739.4313696,90.95221041
4735.05,1143.441098,994.565117,739.588807,90.97168351
4736.05,1143.661624,994.771792,739.7461624,90.991137
4737.05,1143.870796,994.9719829,739.9035332,91.01058033
4738.05,1144.116382,995.1880246,740.0609603,91.03002341
4739.05,1144.313991,995.3809576,740.2184829,91.04943433
4740.05,1144.547183,995.5886906,740.3759686,91.06881545
4741.05,1144.769111,995.7999579,740.5334686,91.08819336
4742.05,1145.005958,996.0032752,740.6909474,91.10754937
4743.05,1145.193163,996.2093671,740.8483339,91.12686246
4744.05,1145.415164,996.4080754,741.0057497,91.14615981
4745.05,1145.683188,996.6236795,741.1630306,91.1654201
4746.05,1145.973209,996.8474088,741.3202592,91.18467603
4747.05,1146.20556,997.0585574,741.4775093,91.20393123
4748.05,1146.377979,997.2464084,741.634772,91.22319542
4749.05,1146.615187,997.4603521,741.792026,91.24247419
4750.05,1146.893589,997.6728271,741.9492701,91.2617757
4751.05,1147.097011,997.8790734,742.1064257,91.2810742
4752.05,1147.345122,998.1036828,742.2634717,91.30037727
4753.05,1147.537407,998.3044661,742.4203798,91.31969592
4754.05,1147.756141,998.5157634,742.5772381,91.33902253
4755.05,1147.967798,998.7171426,742.7341642,91.3583417
4756.05,1148.209829,998.9236808,742.891161,91.37766108
4757.05,1148.459886,999.1448935,743.0481364,91.39701037
4758.05,1148.647147,999.3304772,743.2051627,91.41636135
4759.05,1148.858492,999.54484,743.3623666,91.43574591
4760.05,1149.048815,999.7344797,743.5196689,91.45513485
4761.05,1149.324486,999.9478303,743.6771277,91.47451866
4762.05,1149.518721,1000.137282,743.8346184,91.49388344
4763.05,1149.768067,1000.350854,743.9921231,91.51323389
4764.05,1149.99197,1000.546652,744.149743,91.53258483
4765.05,1150.228376,1000.76253,744.3074528,91.55196175
4766.05,1150.452318,1000.960768,744.4651017,91.57134888
4767.05,1150.723393,1001.174639,744.6227042,91.59071566
4768.05,1150.998103,1001.392512,744.7803505,91.61009098
4769.05,1151.229584,1001.596938,744.9379693,91.62945332
4770.05,1151.464038,1001.804766,745.0955234,91.64882846
4771.05,1151.668593,1002.003974,745.2531269,91.66818905
4772.05,1151.912956,1002.211925,745.4107982,91.68753911
4773.05,1152.178546,1002.430631,745.5685235,91.70687291
4774.05,1152.436771,1002.642688,745.7262918,91.72623278
4775.05,1152.681379,1002.875646,745.8840666,91.74560187
4776.05,1152.97023,1003.103094,746.041926,91.76496326
4777.05,1153.233198,1003.310903,746.1999174,91.78437202
4778.05,1153.488533,1003.531804,746.3579287,91.80380738
4779.05,1153.730537,1003.734881,746.5160171,91.82327328
4780.05,1153.998828,1003.953171,746.6742145,91.84276941
4781.05,1154.245856,1004.169377,746.832418,91.86228167
4782.05,1154.465351,1004.374842,746.990678,91.88179144
4783.05,1154.672016,1004.575742,747.1489849,91.90129665
4784.05,1154.864623,1004.777468,747.3074101,91.92081047
4785.05,1155.087597,1004.977521,747.4658554,91.94033118
4786.05,1155.290404,1005.179418,747.6242936,91.95986455
4787.05,1155.580141,1005.404529,747.7828509,91.97935091
4788.05,1155.760737,1005.583739,747.941441,91.99882489
4789.05,1156.019572,1005.794618,748.100146,92.0182768
4790.05,1156.3307,1006.028482,748.2588885,92.03771679
4791.05,1156.567607,1006.250864,748.4176203,92.0571932
4792.05,1156.875378,1006.48335,748.5763146,92.07669176
4793.05,1157.12813,1006.699204,748.7350028,92.09621196
4794.05,1157.392113,1006.909045,748.8936961,92.11572804
4795.05,1157.708857,1007.157684,749.0523792,92.13523042
4796.05,1157.944975,1007.364123,749.2110042,92.15473755
4797.05,1158.159294,1007.562646,749.3695205,92.17423959
4798.05,1158.343879,1007.744397,749.5279177,92.19370075
4799.05,1158.589833,1007.95734,749.6862818,92.21311409
4800.05,1158.853057,1008.167567,749.8447352,92.23251475
4801.05,1159.080785,1008.381512,750.0032034,92.25188429
4802.05,1159.276274,1008.571337,750.1616612,92.27127261
4803.05,1159.58873,1008.80527,750.3201042,92.29066959
4804.05,1159.735999,1008.984039,750.4785107,92.31008247
4805.05,1159.97777,1009.208934,750.6369048,92.32948792
4806.05,1160.218068,1009.420157,750.795284,92.34887558
4807.05,1160.479263,1009.632983,750.9536622,92.36826599
4808.05,1160.640925,1009.826893,751.1121136,92.38766135
4809.05,1160.899581,1010.04457,751.2705724,92.40710355
4810.05,1161.063769,1010.231289,751.4289919,92.426585
4811.05,1161.389991,1010.462548,751.5875098,92.44608506
4812.05,1161.63251,1010.67049,751.746029,92.46559418
4813.05,1161.896741,1010.884005,751.9046114,92.48511034
4814.05,1162.11413,1011.084779,752.0631837,92.50463194
4815.05,1162.334875,1011.291366,752.2217098,92.52417383
4816.05,1162.594796,1011.50695,752.3802228,92.54373269
4817.05,1162.834493,1011.705575,752.5389008,92.56331181
4818.05,1163.103883,1011.924816,752.6976186,92.58289748
4819.05,1163.296537,1012.106423,752.8563571,92.60246583
4820.05,1163.537255,1012.31135,753.0150996,92.62201419
4821.05,1163.784547,1012.517772,753.1738797,92.64156094
4822.05,1164.035252,1012.724982,753.3326903,92.66110918
4823.05,1164.275084,1012.93303,753.4914977,92.68068078
4824.05,1164.565118,1013.151616,753.6503393,92.70028925
4825.05,1164.809247,1013.375001,753.8092953,92.71990162
4826.05,1164.997461,1013.555772,753.9682781,92.73950814
4827.05,1165.209738,1013.753455,754.1273116,92.7591106
4828.05,1165.448259,1013.9642,754.2862878,92.77868817
4829.05,1165.654485,1014.171498,754.4451353,92.79823022
4830.05,1165.847584,1014.376097,754.6039528,92.81777162
4831.05,1166.134379,1014.593943,754.7627213,92.83727874
4832.05,1166.308728,1014.781874,754.9214375,92.85675143
4833.05,1166.586614,1015.006322,755.0802018,92.87622566
4834.05,1166.806049,1015.197131,755.2389508,92.89570084
4835.05,1167.070976,1015.41938,755.3976926,92.91519
4836.05,1167.317728,1015.643519,755.5563837,92.93467711
4837.05,1167.53899,1015.848962,755.7150745,92.95415887
4838.05,1167.850261,1016.076707,755.8738391,92.97361633
4839.05,1168.033445,1016.277702,756.0325444,92.99303681
4840.05,1168.232245,1016.473395,756.1912341,93.01244252
4841.05,1168.486813,1016.685501,756.3497771,93.03182262
4842.05,1168.736515,1016.890774,756.5083302,93.05121067
4843.05,1168.999169,1017.118116,756.6669584,93.07060034
4844.05,1169.218394,1017.324424,756.8255471,93.08997797
4845.05,1169.455216,1017.538258,756.9840372,93.10937529
4846.05,1169.770834,1017.779343,757.1425276,93.12880425
4847.05,1170.025623,1017.998465,757.3009228,93.14824813
4848.05,1170.247484,1018.20008,757.4592339,93.16769673
4849.05,1170.512749,1018.41274,757.6174915,93.18710033
4850.05,1170.707811,1018.604993,757.7758705,93.20649899
4851.05,1170.942497,1018.823399,757.9342516,93.22588255
4852.05,1171.198366,1019.038776,758.0926366,93.24528056
4853.05,1171.404397,1019.234992,758.2510478,93.2646969
4854.05,1171.604198,1019.43969,758.4093873,93.28412428
4855.05,1171.786489,1019.626133,758.5677161,93.3035685
4856.05,1171.992256,1019.82252,758.7260419,93.32302823
4857.05,1172.228462,1020.024564,758.8843571,93.34247364
4858.05,1172.469878,1020.246354,759.0426655,93.3619017
4859.05,1172.719166,1020.459561,759.2010236,93.38132817
4860.05,1172.951876,1020.668301,759.3593727,93.40072882
4861.05,1173.192767,1020.87531,759.5177049,93.42010773
4862.05,1173.422698,1021.079869,759.6760913,93.43947035
4863.05,1173.673015,1021.291897,759.8344685,93.4588394
4864.05,1173.878923,1021.50104,759.9928118,93.47823707
4865.05,1174.160903,1021.725032,760.1511919,93.49767422
4866.05,1174.386293,1021.934661,760.3096479,93.5171268
4867.05,1174.629135,1022.133764,760.4682663,93.53660129
4868.05,1174.916741,1022.361365,760.6269005,93.55603082
4869.05,1175.123047,1022.578544,760.7854701,93.57546285
