tau,q,spread
70,14,1.023972487
70,15,1.023734933
70,16,1.023487014
70,17,1.023229679
70,18,1.022963876
70,19,1.022690538
70,20,1.022410582
70,21,1.022124898
70,22,1.02183435
70,23,1.021539766
70,24,1.02124194
70,25,1.020941624
70,26,1.020639529
70,27,1.020336326
70,28,1.020032639
70,29,1.01972905
70,30,1.019426096
80,-30,1.019524785
80,-29,1.019846075
80,-28,1.020168885
80,-27,1.020492654
80,-26,1.020816769
80,-25,1.02114056
80,-24,1.021463305
80,-23,1.021784226
80,-22,1.022102493
80,-21,1.022417221
80,-20,1.02272748
80,-19,1.023032292
80,-18,1.023330639
80,-17,1.023621466
80,-16,1.02390369
80,-15,1.024176206
80,-14,1.024437898
80,-13,1.024687645
80,-12,1.024924332
80,-11,1.025146864
80,-10,1.025354173
80,-9,1.025545235
80,-8,1.025719074
80,-7,1.025874783
80,-6,1.026011529
80,-5,1.026128566
80,-4,1.026225243
80,-3,1.026301016
80,-2,1.026355453
80,-1,1.026388242
80,0,1.026399193
80,1,1.026388242
80,2,1.026355453
80,3,1.026301016
80,4,1.026225243
80,5,1.026128566
80,6,1.026011529
80,7,1.025874783
80,8,1.025719074
80,9,1.025545235
80,10,1.025354173
80,11,1.025146864
80,12,1.024924332
80,13,1.024687645
80,14,1.024437898
80,15,1.024176206
80,16,1.02390369
80,17,1.023621466
80,18,1.023330639
80,19,1.023032292
80,20,1.02272748
80,21,1.022417221
80,22,1.022102493
80,23,1.021784226
80,24,1.021463305
80,25,1.02114056
80,26,1.020816769
80,27,1.020492654
80,28,1.020168885
80,29,1.019846075
80,30,1.019524785
90,-30,1.019577804
90,-29,1.019912115
90,-28,1.020248666
90,-27,1.020586886
90,-26,1.020926143
90,-25,1.021265741
90,-24,1.021604923
90,-23,1.021942865
90,-22,1.022278681
90,-21,1.022611423
90,-20,1.022940082
90,-19,1.023263592
90,-18,1.023580838
90,-17,1.023890658
90,-16,1.02419185
90,-15,1.024483184
90,-14,1.02476341
90,-13,1.025031266
90,-12,1.025285496
90,-11,1.025524858
90,-10,1.025748139
90,-9,1.025954169
90,-8,1.026141835
90,-7,1.026310096
90,-6,1.026457994
90,-5,1.026584672
90,-4,1.02668938
90,-3,1.026771489
90,-2,1.026830501
90,-1,1.026866055
90,0,1.02687793
90,1,1.026866055
90,2,1.026830501
90,3,1.026771489
90,4,1.02668938
90,5,1.026584672
90,6,1.026457994
90,7,1.026310096
90,8,1.026141835
90,9,1.025954169
90,10,1.025748139
90,11,1.025524858
90,12,1.025285496
90,13,1.025031266
90,14,1.02476341
90,15,1.024483184
90,16,1.02419185
90,17,1.023890658
90,18,1.023580838
90,19,1.023263592
90,20,1.022940082
90,21,1.022611423
90,22,1.022278681
90,23,1.021942865
90,24,1.021604923
90,25,1.021265741
90,26,1.020926143
90,27,1.020586886
90,28,1.020248666
90,29,1.019912115
90,30,1.019577804
100,-30,1.019606337
100,-29,1.019950115
100,-28,1.020296716
100,-27,1.020645565
100,-26,1.02099602
100,-25,1.021347369
100,-24,1.021698831
100,-23,1.02204955
100,-22,1.022398601
100,-21,1.022744986
100,-20,1.023087639
100,-19,1.023425427
100,-18,1.023757159
100,-17,1.024081586
100,-16,1.024397415
100,-15,1.024703315
100,-14,1.024997927
100,-13,1.025279879
100,-12,1.025547796
100,-11,1.025800318
100,-10,1.026036112
100,-9,1.02625389
100,-8,1.026452426
100,-7,1.026630567
100,-6,1.026787256
100,-5,1.02692154
100,-4,1.027032589
100,-3,1.027119705
100,-2,1.027182334
100,-1,1.027220074
100,0,1.027232681
100,1,1.027220074
100,2,1.027182334
100,3,1.027119705
100,4,1.027032589
100,5,1.02692154
100,6,1.026787256
100,7,1.026630567
100,8,1.026452426
100,9,1.02625389
100,10,1.026036112
100,11,1.025800318
100,12,1.025547796
100,13,1.025279879
100,14,1.024997927
100,15,1.024703315
100,16,1.024397415
100,17,1.024081586
100,18,1.023757159
100,19,1.023425427
100,20,1.023087639
100,21,1.022744986
100,22,1.022398601
100,23,1.02204955
100,24,1.021698831
100,25,1.021347369
100,26,1.02099602
100,27,1.020645565
100,28,1.020296716
100,29,1.019950115
100,30,1.019606337
110,-30,1.019621269
110,-29,1.019972074
110,-28,1.020326173
110,-27,1.020682992
110,-26,1.021041883
110,-25,1.021402124
110,-24,1.021762919
110,-23,1.022123391
110,-22,1.022482583
110,-21,1.022839461
110,-20,1.023192915
110,-19,1.02354176
110,-18,1.023884744
110,-17,1.024220552
110,-16,1.024547816
110,-15,1.024865123
110,-14,1.025171029
110,-13,1.025464068
110,-12,1.025742772
110,-11,1.026005684
110,-10,1.026251373
110,-9,1.026478454
110,-8,1.026685607
110,-7,1.026871589
110,-6,1.02703526
110,-5,1.02717559
110,-4,1.027291683
110,-3,1.027382783
110,-2,1.027448291
110,-1,1.027487772
110,0,1.027500962
110,1,1.027487772
110,2,1.027448291
110,3,1.027382783
110,4,1.027291683
110,5,1.02717559
110,6,1.02703526
110,7,1.026871589
110,8,1.026685607
110,9,1.026478454
110,10,1.026251373
110,11,1.026005684
110,12,1.025742772
110,13,1.025464068
110,14,1.025171029
110,15,1.024865123
110,16,1.024547816
110,17,1.024220552
110,18,1.023884744
110,19,1.02354176
110,20,1.023192915
110,21,1.022839461
110,22,1.022482583
110,23,1.022123391
110,24,1.021762919
110,25,1.021402124
110,26,1.021041883
110,27,1.020682992
110,28,1.020326173
110,29,1.019972074
110,30,1.019621269
120,-30,1.019628481
120,-29,1.019984591
120,-28,1.020344377
120,-27,1.020707267
120,-26,1.021072612
120,-25,1.021439685
120,-24,1.021807678
120,-23,1.022175696
