tau,q,bid_depth
3.332500000000000000e+02,-1.300000000000000000e+01,1.210040180664622156e-01
3.332500000000000000e+02,-1.200000000000000000e+01,1.499274053304380239e-01
3.332500000000000000e+02,-1.100000000000000000e+01,1.791569800664059020e-01
3.332500000000000000e+02,-1.000000000000000000e+01,2.086735857960970719e-01
3.332500000000000000e+02,-9.000000000000000000e+00,2.384562421700673340e-01
3.332500000000000000e+02,-8.000000000000000000e+00,2.684822221854435975e-01
3.332500000000000000e+02,-7.000000000000000000e+00,2.987271549168610818e-01
3.332500000000000000e+02,-6.000000000000000000e+00,3.291651528517709480e-01
3.332500000000000000e+02,-5.000000000000000000e+00,3.597689623556182825e-01
3.332500000000000000e+02,-4.000000000000000000e+00,3.905101352738284959e-01
3.332500000000000000e+02,-3.000000000000000000e+00,4.213592192167082695e-01
3.332500000000000000e+02,-2.000000000000000000e+00,4.522859636772887937e-01
3.332500000000000000e+02,-1.000000000000000000e+00,4.832595388050525131e-01
3.332500000000000000e+02,0.000000000000000000e+00,5.142487634027668175e-01
3.332500000000000000e+02,1.000000000000000000e+00,5.452223385305304815e-01
3.332500000000000000e+02,2.000000000000000000e+00,5.761490829911111167e-01
3.332500000000000000e+02,3.000000000000000000e+00,6.069981669339908903e-01
3.332500000000000000e+02,4.000000000000000000e+00,6.377393398522012147e-01
3.332500000000000000e+02,5.000000000000000000e+00,6.683431493560473280e-01
3.332500000000000000e+02,6.000000000000000000e+00,6.987811472909559729e-01
3.332500000000000000e+02,7.000000000000000000e+00,7.290260800223731241e-01
3.332500000000000000e+02,8.000000000000000000e+00,7.590520600377481664e-01
3.332500000000000000e+02,9.000000000000000000e+00,7.888347164117177623e-01
3.332500000000000000e+02,1.000000000000000000e+01,8.183513221414102645e-01
3.332500000000000000e+02,1.100000000000000000e+01,8.475808968773772545e-01
3.332500000000000000e+02,1.200000000000000000e+01,8.765042841413541730e-01
3.332500000000000000e+02,1.300000000000000000e+01,9.051042027201146034e-01
