tau,q,spread
6.666666666666666288e+02,1.300000000000000000e+01,1.022413776062499391e+00
6.666666666666666288e+02,1.400000000000000000e+01,1.022203277284667422e+00
6.666666666666666288e+02,1.500000000000000000e+01,1.021983107357531617e+00
6.666666666666666288e+02,1.600000000000000000e+01,1.021754231440174632e+00
6.666666666666666288e+02,1.700000000000000000e+01,1.021517600142784588e+00
6.666666666666666288e+02,1.800000000000000000e+01,1.021274141789494161e+00
6.666666666666666288e+02,1.900000000000000000e+01,1.021024755801910100e+00
6.666666666666666288e+02,2.000000000000000000e+01,1.020770307199927895e+00
6.666666666666666288e+02,2.100000000000000000e+01,1.020511622186510925e+00
6.666666666666666288e+02,2.200000000000000000e+01,1.020249484759160108e+00
6.666666666666666288e+02,2.300000000000000000e+01,1.019984634273178203e+00
6.666666666666666288e+02,2.400000000000000000e+01,1.019717763869350646e+00
6.666666666666666288e+02,2.500000000000000000e+01,1.019449519671614901e+00
6.666666666666666288e+02,2.600000000000000000e+01,1.019180500657169919e+00
6.666666666666666288e+02,2.700000000000000000e+01,1.018911259102194933e+00
6.666666666666666288e+02,2.800000000000000000e+01,1.018642301509570691e+00
6.666666666666666288e+02,2.900000000000000000e+01,1.018374089930470738e+00
6.666666666666666288e+02,3.000000000000000000e+01,1.018107043598607042e+00
