y,regime,regime_ergodic_ask,regime_ergodic_bid,ansatz_ask,ansatz_bid
5.64,-1,3.664229679,-2.594484647,2.934181564,-1.910572137
5.68,-1,3.672389655,-2.602471326,2.948861782,-1.925252356
5.72,-1,3.679609379,-2.609537501,2.963541886,-1.939932459
5.76,-1,3.685888851,-2.615683173,2.978221884,-1.954612458
5.8,-1,3.692168322,-2.621828845,2.992901785,-1.969292359
5.84,-1,3.696229575,-2.625803311,3.007581596,-1.983972169
5.88,-1,3.700290829,-2.629777776,3.022261324,-1.998651897
5.92,-1,3.703036338,-2.632464578,3.036940975,-2.013331548
5.96,-1,3.704466102,-2.633863716,3.051620555,-2.028011129
6,-1,3.705895866,-2.635262853,3.06630007,-2.042690644
-6,0,-3.056016538,4.125214816,-2.456258256,3.479867682
-5.96,0,-3.054740641,4.123908384,-2.441578741,3.465188167
-5.92,0,-3.053464745,4.122601952,-2.426899161,3.450508587
-5.88,0,-3.050999181,4.120077591,-2.412219509,3.435828936
-5.84,0,-3.04734395,4.116335302,-2.397539781,3.421149208
-5.8,0,-3.043688719,4.112593012,-2.382859971,3.406469397
-5.76,0,-3.037969287,4.106738135,-2.36818007,3.391789496
-5.72,0,-3.032249856,4.100883258,-2.353500072,3.377109498
-5.68,0,-3.02563055,4.094107754,-2.338819968,3.362429394
-5.64,0,-3.018111369,4.086411624,-2.32413975,3.347749176
-5.6,0,-3.010592188,4.078715494,-2.309459408,3.333068834
-5.56,0,-3.001495604,4.069406309,-2.294778931,3.318388358
-5.52,0,-2.99239902,4.060097124,-2.28009831,3.303707736
-5.48,0,-2.98260739,4.050077571,-2.265417531,3.289026957
-5.44,0,-2.972120716,4.039347647,-2.250736581,3.274346007
-5.4,0,-2.961634041,4.028617724,-2.236055447,3.259664873
-5.36,0,-2.949915328,4.016629409,-2.221374112,3.244983538
-5.32,0,-2.938196615,4.004641094,-2.206692561,3.230301987
-5.28,0,-2.925928665,3.992092214,-2.192010774,3.215620201
-5.24,0,-2.913111477,3.97898277,-2.177328734,3.20093816
-5.2,0,-2.900294289,3.965873326,-2.162646417,3.186255844
-5.16,0,-2.886491655,3.951758986,-2.147963802,3.171573229
-5.12,0,-2.872689021,3.937644646,-2.133280864,3.15689029
-5.08,0,-2.858441557,3.923077142,-2.118597575,3.142207001
-5.04,0,-2.843749263,3.908056475,-2.103913906,3.127523333
-5,0,-2.829056968,3.893035808,-2.089229827,3.112839253
-4.96,0,-2.813556286,3.87719252,-2.074545301,3.098154728
-4.92,0,-2.798055605,3.861349233,-2.059860294,3.08346972
-4.88,0,-2.782185252,3.845130225,-2.045174763,3.06878419
-4.84,0,-2.765945227,3.828535497,-2.030488667,3.054098093
-4.8,0,-2.749705203,3.811940769,-2.015801957,3.039411383
-4.76,0,-2.732784552,3.794655201,-2.001114582,3.024724008
-4.72,0,-2.715863901,3.777369633,-1.986426488,3.010035914
-4.68,0,-2.698627926,3.759764471,-1.971737614,2.99534704
-4.64,0,-2.681076629,3.741839716,-1.957047895,2.980657321
-4.6,0,-2.663525332,3.72391496,-1.942357261,2.965966688
-4.56,0,-2.645385964,3.705395084,-1.927665636,2.951275063
-4.52,0,-2.627246596,3.686875207,-1.912972938,2.936582364
-4.48,0,-2.608831337,3.668076582,-1.898279077,2.921888503
-4.44,0,-2.590140185,3.648999207,-1.883583955,2.907193381
-4.4,0,-2.571449034,3.629921832,-1.868887469,2.892496895
-4.36,0,-2.552237033,3.610319098,-1.854189505,2.877798931
-4.32,0,-2.533025033,3.590716363,-1.839489939,2.863099365
-4.28,0,-2.513565791,3.570864678,-1.824788639,2.848398065
-4.24,0,-2.493859307,3.55076404,-1.810085459,2.833694886
-4.2,0,-2.474152824,3.530663403,-1.795380245,2.818989671
-4.16,0,-2.453974316,3.510088313,-1.780672825,2.804282252
-4.12,0,-2.433795808,3.489513223,-1.765963018,2.789572444
-4.08,0,-2.413390839,3.46871091,-1.751250623,2.77486005
-4.04,0,-2.392759409,3.447681376,-1.736535427,2.760144853
-4,0,-2.372127979,3.426651843,-1.721817195,2.745426621
-3.96,0,-2.351059836,3.405184907,-1.707095676,2.730705102
