time,price,y,alpha,regime,z,glft_inventory,y_aware_inventory,alpha/y_aware_inventory,regime_aware_inventory,regime_galerkin_inventory,regime_sc_cubic_inventory
295,-0.68475083,0.17555816,0.035082433,0,0,-9,-4,5,5,12,5
296,-0.1330288,0.076214889,0.028778194,0,0,-9,-5,4,6,11,5
297,0.058939415,-0.29692525,0.028151132,0,0,-7,-5,3,5,10,6
298,-0.36143458,-0.41703199,0.012014447,0,0,-7,-5,2,5,10,5
299,-0.91647597,-0.3455018,0.0055975478,0,0,-7,-5,2,5,9,5
300,-0.50989687,0.17049,-0.004586378,0,0,-7,-7,2,4,8,5
301,-0.96455077,-0.0795594,0.0025693764,0,0,-7,-6,3,4,8,5
302,-1.141448,0.26937138,0.0014564411,0,0,-7,-5,4,4,8,4
303,-1.3736026,-0.1194027,-0.00018753627,0,0,-6,-5,4,4,7,3
304,-1.1427147,-0.57961734,-0.001738841,0,0,-6,-5,4,4,7,3
305,-0.84038213,-0.35492254,-0.0092017412,0,0,-5,-6,3,4,7,3
306,-0.60989612,-0.74818364,-0.016958588,0,0,-3,-5,3,4,7,1
307,-0.32217266,-0.8908144,-0.01267781,0,0,-2,-5,3,3,7,2
308,-0.12384946,-1.1953865,-0.0089614509,0,0,-2,-5,2,2,7,2
309,-0.36999657,-0.75101119,-0.0063246163,0,0,-1,-5,1,1,7,2
310,-0.039385677,-0.71323034,-0.012994843,0,0,0,-5,1,0,7,1
311,0.49235574,-0.83962869,-0.016387599,0,0,-2,-5,2,-1,5,1
312,0.13365429,-0.95447909,-0.022188876,0,0,-2,-5,2,0,5,1
313,0.28193711,-0.91573025,-0.028835955,0,0,-2,-4,2,0,6,1
314,-0.0021202972,-1.3050926,-0.02306888,0,0,-2,-4,2,0,6,0
315,-0.49452937,-0.86160553,-0.023649407,0,0,-1,-3,2,-1,3,0
316,-0.54295745,-0.98947553,-0.025639576,0,0,-1,-4,2,-1,3,0
317,-0.65561216,-1.8207428,-0.036708945,0,0,0,-4,1,-1,2,0
318,-0.38350494,-1.7344469,-0.033034064,0,0,1,-4,1,-2,2,0
319,-0.58600494,-1.7235521,-0.030229079,0,0,1,-4,1,-2,2,-1
320,-0.22061172,-1.8047152,-0.036992479,0,0,1,-4,0,-2,2,-1
321,-0.58938735,-2.078784,-0.033401337,0,0,1,-4,0,-2,2,-1
322,-0.76392344,-2.1630091,-0.031042769,0,0,1,-4,0,-2,2,-1
323,-0.57271932,-2.0190019,-0.034707226,0,0,3,-4,0,-2,2,-1
324,-0.49235986,-2.5962224,-0.034806652,0,0,5,-3,0,-2,2,-1
325,-0.67873568,-2.4751553,-0.032450338,0,0,5,-3,0,-2,2,-1
326,-0.43523005,-2.7727828,-0.029044812,0,0,5,-3,0,-3,1,-2
327,-0.40949582,-2.1137903,-0.021664075,0,0,5,-2,-1,-3,0,-4
328,0.39641948,-2.254237,-0.016648414,0,0,5,-2,-1,-3,-1,-4
329,0.057213323,-2.3937549,-0.026206184,0,0,5,-2,-1,-3,-1,-4
330,0.026108358,-2.64912,-0.033096921,0,0,6,-2,-1,-3,-1,-4
331,-0.11948416,-2.5029796,-0.035082728,0,0,7,-2,-3,-3,-1,-5
332,-0.28917069,-2.6012057,-0.043448319,0,0,7,-1,-3,-3,-1,-6
333,0.204112,-2.524769,-0.04234512,0,0,7,-1,-4,-4,-1,-7
334,0.087117034,-2.7784749,-0.041320034,1,1.25,7,-1,-4,-4,-1,-7
335,0.12414922,-2.5752969,-0.055688669,1,1.25,8,-1,-4,-4,-2,-6
336,0.35713272,-2.3845489,-0.043306726,1,1.25,9,0,-4,-4,-2,-6
337,0.8969253,-2.9373857,-0.046980498,1,1.25,9,1,-4,-4,-2,-5
